Bagaimana cara memasak nasi?|Cara memasak nasi adalah dengan menggunakan rice cooker.
Apa kamu suka liburan?|Iya, saya suka liburan.
Dimana tempat favoritmu untuk liburan?|Tempat favorit saya untuk liburan adalah Bali.
Berapa lama waktu perjalanan ke Jakarta?|Waktu perjalanan ke Jakarta sekitar 3 jam.
Apa makanan khas Bandung?|Makanan khas Bandung adalah batagor.
question|answer
Apa kabar?|Baik, terima kasih.
Selamat pagi|Selamat pagi.
Siapa nama kamu?|Nama saya Dani.
Berapa umur kamu?|Saya berumur 25 tahun.
Tinggal di mana?|Saya tinggal di Bandung.
Kamu kerja apa?|Saya seorang programmer.
Apa hobi kamu?|Hobi saya membaca buku.
Sudah makan?|Iya, sudah.
Minum apa?|Saya minum teh.
Apa warna favoritmu?|Warna favorit saya biru.
Bagaimana cuaca hari ini?|Cuaca hari ini cerah.
Punya hewan peliharaan?|Iya, saya punya kucing.
Nama kucing kamu siapa?|Nama kucing saya Momo.
Sedang apa?|Saya sedang bekerja.
Suka makanan apa?|Saya suka makanan Indonesia.
Pernah ke luar negeri?|Iya, pernah.
Negara mana yang pernah kamu kunjungi?|Saya pernah ke Jepang.
Bahasa apa saja yang kamu bisa?|Saya bisa bahasa Indonesia dan Inggris.
Apa film favoritmu?|Film favorit saya adalah Inception.
Musik apa yang kamu suka?|Saya suka musik pop.
Olahraga favorit kamu apa?|Saya suka bermain sepak bola.
Kapan ulang tahunmu?|Ulang tahun saya tanggal 5 Mei.
Sudah mandi?|Iya, sudah.
Kenapa terlambat?|Maaf, macet di jalan.
Apa kamu bisa masak?|Iya, saya bisa masak.
Sedang baca buku apa?|Saya sedang baca buku novel.
Suka kopi atau teh?|Saya lebih suka teh.
Apa kegiatan akhir pekanmu?|Saya biasanya jalan-jalan di akhir pekan.
Berapa harga buku ini?|Buku ini harganya 50 ribu rupiah.
Dimana kita bisa makan siang?|Kita bisa makan siang di restoran dekat sini.
Punya saudara berapa?|Saya punya dua saudara.
Nama saudaramu siapa saja?|Nama saudara saya adalah Rina dan Budi.
Suka es krim rasa apa?|Saya suka es krim rasa cokelat.
Apa pekerjaan ayahmu?|Ayah saya seorang dokter.
Apa pekerjaan ibumu?|Ibu saya seorang guru.
Kamu sekolah dimana?|Saya sekolah di SMA 1 Bandung.
Jam berapa sekarang?|Sekarang jam 10 pagi.
Besok ada rencana apa?|Besok saya ada rapat di kantor.
Bagaimana cara ke rumahmu?|Kamu bisa naik angkot nomor 5.
Apakah kamu bisa berenang?|Iya, saya bisa berenang.
Kapan kita bisa bertemu?|Kita bisa bertemu besok sore.
Apa kamu suka nonton film?|Iya, saya suka nonton film.
Apa merek HP kamu?|Merek HP saya adalah Samsung.
Apakah kamu punya laptop?|Iya, saya punya laptop.
Bagaimana cara memasak nasi?|Cara memasak nasi adalah dengan menggunakan rice cooker.
Apa kamu suka liburan?|Iya, saya suka liburan.
Dimana tempat favoritmu untuk liburan?|Tempat favorit saya untuk liburan adalah Bali.
Berapa lama waktu perjalanan ke Jakarta?|Waktu perjalanan ke Jakarta sekitar 3 jam.
Apa makanan khas Bandung?|Makanan khas Bandung adalah batagor.
question|answer
Apa kabar?|Baik, terima kasih.
Selamat pagi|Selamat pagi.
Siapa nama kamu?|Nama saya Dani.
Berapa umur kamu?|Saya berumur 25 tahun.
Tinggal di mana?|Saya tinggal di Bandung.
Kamu kerja apa?|Saya seorang programmer.
Apa hobi kamu?|Hobi saya membaca buku.
Sudah makan?|Iya, sudah.
Minum apa?|Saya minum teh.
Apa warna favoritmu?|Warna favorit saya biru.
Bagaimana cuaca hari ini?|Cuaca hari ini cerah.
Punya hewan peliharaan?|Iya, saya punya kucing.
Nama kucing kamu siapa?|Nama kucing saya Momo.
Sedang apa?|Saya sedang bekerja.
Suka makanan apa?|Saya suka makanan Indonesia.
Pernah ke luar negeri?|Iya, pernah.
Negara mana yang pernah kamu kunjungi?|Saya pernah ke Jepang.
Bahasa apa saja yang kamu bisa?|Saya bisa bahasa Indonesia dan Inggris.
Apa film favoritmu?|Film favorit saya adalah Inception.
Musik apa yang kamu suka?|Saya suka musik pop.
Olahraga favorit kamu apa?|Saya suka bermain sepak bola.
Kapan ulang tahunmu?|Ulang tahun saya tanggal 5 Mei.
Sudah mandi?|Iya, sudah.
Kenapa terlambat?|Maaf, macet di jalan.
Apa kamu bisa masak?|Iya, saya bisa masak.
Sedang baca buku apa?|Saya sedang baca buku novel.
Suka kopi atau teh?|Saya lebih suka teh.
Apa kegiatan akhir pekanmu?|Saya biasanya jalan-jalan di akhir pekan.
Berapa harga buku ini?|Buku ini harganya 50 ribu rupiah.
Dimana kita bisa makan siang?|Kita bisa makan siang di restoran dekat sini.
Punya saudara berapa?|Saya punya dua saudara.
Nama saudaramu siapa saja?|Nama saudara saya adalah Rina dan Budi.
Suka es krim rasa apa?|Saya suka es krim rasa cokelat.
Apa pekerjaan ayahmu?|Ayah saya seorang dokter.
Apa pekerjaan ibumu?|Ibu saya seorang guru.
Kamu sekolah dimana?|Saya sekolah di SMA 1 Bandung.
Jam berapa sekarang?|Sekarang jam 10 pagi.
Besok ada rencana apa?|Besok saya ada rapat di kantor.
Bagaimana cara ke rumahmu?|Kamu bisa naik angkot nomor 5.
Apakah kamu bisa berenang?|Iya, saya bisa berenang.
Kapan kita bisa bertemu?|Kita bisa bertemu besok sore.
Apa kamu suka nonton film?|Iya, saya suka nonton film.
Apa merek HP kamu?|Merek HP saya adalah Samsung.
Apakah kamu punya laptop?|Iya, saya punya laptop.
Bagaimana cara memasak nasi?|Cara memasak nasi adalah dengan menggunakan rice cooker.
Apa kamu suka liburan?|Iya, saya suka liburan.
Dimana tempat favoritmu untuk liburan?|Tempat favorit saya untuk liburan adalah Bali.
Berapa lama waktu perjalanan ke Jakarta?|Waktu perjalanan ke Jakarta sekitar 3 jam.
Apa makanan khas Bandung?|Makanan khas Bandung adalah batagor.
question|answer
Apa kabar?|Baik, terima kasih.
Selamat pagi|Selamat pagi.
Siapa nama kamu?|Nama saya Dani.
Berapa umur kamu?|Saya berumur 25 tahun.
Tinggal di mana?|Saya tinggal di Bandung.
Kamu kerja apa?|Saya seorang programmer.
Apa hobi kamu?|Hobi saya membaca buku.
Sudah makan?|Iya, sudah.
Minum apa?|Saya minum teh.
Apa warna favoritmu?|Warna favorit saya biru.
Bagaimana cuaca hari ini?|Cuaca hari ini cerah.
Punya hewan peliharaan?|Iya, saya punya kucing.
Nama kucing kamu siapa?|Nama kucing saya Momo.
Sedang apa?|Saya sedang bekerja.
Suka makanan apa?|Saya suka makanan Indonesia.
Pernah ke luar negeri?|Iya, pernah.
Negara mana yang pernah kamu kunjungi?|Saya pernah ke Jepang.
Bahasa apa saja yang kamu bisa?|Saya bisa bahasa Indonesia dan Inggris.
Apa film favoritmu?|Film favorit saya adalah Inception.
Musik apa yang kamu suka?|Saya suka musik pop.
Olahraga favorit kamu apa?|Saya suka bermain sepak bola.
Kapan ulang tahunmu?|Ulang tahun saya tanggal 5 Mei.
Sudah mandi?|Iya, sudah.
Kenapa terlambat?|Maaf, macet di jalan.
Apa kamu bisa masak?|Iya, saya bisa masak.
Sedang baca buku apa?|Saya sedang baca buku novel.
Suka kopi atau teh?|Saya lebih suka teh.
Apa kegiatan akhir pekanmu?|Saya biasanya jalan-jalan di akhir pekan.
Berapa harga buku ini?|Buku ini harganya 50 ribu rupiah.
Dimana kita bisa makan siang?|Kita bisa makan siang di restoran dekat sini.
Punya saudara berapa?|Saya punya dua saudara.
Nama saudaramu siapa saja?|Nama saudara saya adalah Rina dan Budi.
Suka es krim rasa apa?|Saya suka es krim rasa cokelat.
Apa pekerjaan ayahmu?|Ayah saya seorang dokter.
Apa pekerjaan ibumu?|Ibu saya seorang guru.
Kamu sekolah dimana?|Saya sekolah di SMA 1 Bandung.
Jam berapa sekarang?|Sekarang jam 10 pagi.
Besok ada rencana apa?|Besok saya ada rapat di kantor.
Bagaimana cara ke rumahmu?|Kamu bisa naik angkot nomor 5.
Apakah kamu bisa berenang?|Iya, saya bisa berenang.
Kapan kita bisa bertemu?|Kita bisa bertemu besok sore.
Apa kamu suka nonton film?|Iya, saya suka nonton film.
Apa merek HP kamu?|Merek HP saya adalah Samsung.
Apakah kamu punya laptop?|Iya, saya punya laptop.
Bagaimana cara memasak nasi?|Cara memasak nasi adalah dengan menggunakan rice cooker.
Apa kamu suka liburan?|Iya, saya suka liburan.
Dimana tempat favoritmu untuk liburan?|Tempat favorit saya untuk liburan adalah Bali.
Berapa lama waktu perjalanan ke Jakarta?|Waktu perjalanan ke Jakarta sekitar 3 jam.
Apa makanan khas Bandung?|Makanan khas Bandung adalah batagor.
question|answer
Apa kabar?|Baik, terima kasih.
Selamat pagi|Selamat pagi.
Siapa nama kamu?|Nama saya Dani.
Berapa umur kamu?|Saya berumur 25 tahun.
Tinggal di mana?|Saya tinggal di Bandung.
Kamu kerja apa?|Saya seorang programmer.
Apa hobi kamu?|Hobi saya membaca buku.
Sudah makan?|Iya, sudah.
Minum apa?|Saya minum teh.
Apa warna favoritmu?|Warna favorit saya biru.
Bagaimana cuaca hari ini?|Cuaca hari ini cerah.
Punya hewan peliharaan?|Iya, saya punya kucing.
Nama kucing kamu siapa?|Nama kucing saya Momo.
Sedang apa?|Saya sedang bekerja.
Suka makanan apa?|Saya suka makanan Indonesia.
Pernah ke luar negeri?|Iya, pernah.
Negara mana yang pernah kamu kunjungi?|Saya pernah ke Jepang.
Bahasa apa saja yang kamu bisa?|Saya bisa bahasa Indonesia dan Inggris.
Apa film favoritmu?|Film favorit saya adalah Inception.
Musik apa yang kamu suka?|Saya suka musik pop.
Olahraga favorit kamu apa?|Saya suka bermain sepak bola.
Kapan ulang tahunmu?|Ulang tahun saya tanggal 5 Mei.
Sudah mandi?|Iya, sudah.
Kenapa terlambat?|Maaf, macet di jalan.
Apa kamu bisa masak?|Iya, saya bisa masak.
Sedang baca buku apa?|Saya sedang baca buku novel.
Suka kopi atau teh?|Saya lebih suka teh.
Apa kegiatan akhir pekanmu?|Saya biasanya jalan-jalan di akhir pekan.
Berapa harga buku ini?|Buku ini harganya 50 ribu rupiah.
Dimana kita bisa makan siang?|Kita bisa makan siang di restoran dekat sini.
Punya saudara berapa?|Saya punya dua saudara.
Nama saudaramu siapa saja?|Nama saudara saya adalah Rina dan Budi.
Suka es krim rasa apa?|Saya suka es krim rasa cokelat.
Apa pekerjaan ayahmu?|Ayah saya seorang dokter.
Apa pekerjaan ibumu?|Ibu saya seorang guru.
Kamu sekolah dimana?|Saya sekolah di SMA 1 Bandung.
Jam berapa sekarang?|Sekarang jam 10 pagi.
Besok ada rencana apa?|Besok saya ada rapat di kantor.
Bagaimana cara ke rumahmu?|Kamu bisa naik angkot nomor 5.
Apakah kamu bisa berenang?|Iya, saya bisa berenang.
Kapan kita bisa bertemu?|Kita bisa bertemu besok sore.
Apa kamu suka nonton film?|Iya, saya suka nonton film.
Apa merek HP kamu?|Merek HP saya adalah Samsung.
Apakah kamu punya laptop?|Iya, saya punya laptop.
Bagaimana cara memasak nasi?|Cara memasak nasi adalah dengan menggunakan rice cooker.
Apa kamu suka liburan?|Iya, saya suka liburan.
Dimana tempat favoritmu untuk liburan?|Tempat favorit saya untuk liburan adalah Bali.
Berapa lama waktu perjalanan ke Jakarta?|Waktu perjalanan ke Jakarta sekitar 3 jam.
Apa makanan khas Bandung?|Makanan khas Bandung adalah batagor.
question|answer
Apa kabar?|Baik, terima kasih.
Selamat pagi|Selamat pagi.
Siapa nama kamu?|Nama saya Dani.
Berapa umur kamu?|Saya berumur 25 tahun.
Tinggal di mana?|Saya tinggal di Bandung.
Kamu kerja apa?|Saya seorang programmer.
Apa hobi kamu?|Hobi saya membaca buku.
Sudah makan?|Iya, sudah.
Minum apa?|Saya minum teh.
Apa warna favoritmu?|Warna favorit saya biru.
Bagaimana cuaca hari ini?|Cuaca hari ini cerah.
Punya hewan peliharaan?|Iya, saya punya kucing.
Nama kucing kamu siapa?|Nama kucing saya Momo.
Sedang apa?|Saya sedang bekerja.
Suka makanan apa?|Saya suka makanan Indonesia.
Pernah ke luar negeri?|Iya, pernah.
Negara mana yang pernah kamu kunjungi?|Saya pernah ke Jepang.
Bahasa apa saja yang kamu bisa?|Saya bisa bahasa Indonesia dan Inggris.
Apa film favoritmu?|Film favorit saya adalah Inception.
Musik apa yang kamu suka?|Saya suka musik pop.
Olahraga favorit kamu apa?|Saya suka bermain sepak bola.
Kapan ulang tahunmu?|Ulang tahun saya tanggal 5 Mei.
Sudah mandi?|Iya, sudah.
Kenapa terlambat?|Maaf, macet di jalan.
Apa kamu bisa masak?|Iya, saya bisa masak.
Sedang baca buku apa?|Saya sedang baca buku novel.
Suka kopi atau teh?|Saya lebih suka teh.
Apa kegiatan akhir pekanmu?|Saya biasanya jalan-jalan di akhir pekan.
Berapa harga buku ini?|Buku ini harganya 50 ribu rupiah.
Dimana kita bisa makan siang?|Kita bisa makan siang di restoran dekat sini.
Punya saudara berapa?|Saya punya dua saudara.
Nama saudaramu siapa saja?|Nama saudara saya adalah Rina dan Budi.
Suka es krim rasa apa?|Saya suka es krim rasa cokelat.
Apa pekerjaan ayahmu?|Ayah saya seorang dokter.
Apa pekerjaan ibumu?|Ibu saya seorang guru.
Kamu sekolah dimana?|Saya sekolah di SMA 1 Bandung.
Jam berapa sekarang?|Sekarang jam 10 pagi.
Besok ada rencana apa?|Besok saya ada rapat di kantor.
Bagaimana cara ke rumahmu?|Kamu bisa naik angkot nomor 5.
Apakah kamu bisa berenang?|Iya, saya bisa berenang.
Kapan kita bisa bertemu?|Kita bisa bertemu besok sore.
Apa kamu suka nonton film?|Iya, saya suka nonton film.
Apa merek HP kamu?|Merek HP saya adalah Samsung.
Apakah kamu punya laptop?|Iya, saya punya laptop.
Bagaimana cara memasak nasi?|Cara memasak nasi adalah dengan menggunakan rice cooker.
Apa kamu suka liburan?|Iya, saya suka liburan.
Dimana tempat favoritmu untuk liburan?|Tempat favorit saya untuk liburan adalah Bali.
Berapa lama waktu perjalanan ke Jakarta?|Waktu perjalanan ke Jakarta sekitar 3 jam.
Apa makanan khas Bandung?|Makanan khas Bandung adalah batagor.
